0 0.0017
1 0.0007
2 0.0008
3 0.0012
4 0.0011
5 0.0021
6 0.0024
7 0.0025
8 0.0032
9 0.0032
10 0.0043
11 0.004
12 0.0045
13 0.0056
14 0.0054
15 0.0072
16 0.0069
17 0.0072
18 0.0113
19 0.0096
20 0.0123
21 0.0121
22 0.0153
23 0.0127
24 0.0157
25 0.0161
26 0.0164
27 0.0199
28 0.0209
29 0.0195
30 0.0223
31 0.0223
32 0.0222
33 0.0236
34 0.0234
35 0.028
36 0.0259
37 0.0247
38 0.0293
39 0.0277
40 0.0259
41 0.0253
42 0.0241
43 0.0273
44 0.0245
45 0.0268
46 0.0237
47 0.0215
48 0.0228
49 0.0242
50 0.0226
51 0.0191
52 0.0197
53 0.0159
54 0.0178
55 0.0163
56 0.0143
57 0.0175
58 0.0139
59 0.0119
60 0.0115
61 0.0092
62 0.007
63 0.0075
64 0.0061
65 0.006
66 0.0057
67 0.0051
68 0.004
69 0.0032
70 0.0036
71 0.0037
72 0.0018
73 0.0026
74 0.0024
75 0.0017
76 0.0013
77 0.0011
78 0.0014
79 0.0009
80 0.0008
81 0.0007
82 0.0007
83 0.0007
84 0.0003
85 0.0002
86 0.0001
87 0.0001
88 0.0
89 0.0001
90 0.0
91 0.0001
92 0.0
93 0.0001
94 0.0
95 0.0
96 0.0
97 0.0
98 0.0
99 0.0
100 0.0
101 0.0
102 0.0
103 0.0
104 0.0
105 0.0
106 0.0
107 0.0
108 0.0
109 0.0
110 0.0
111 0.0
112 0.0
113 0.0
114 0.0
115 0.0
116 0.0
117 0.0
118 0.0
119 0.0
